Item,Quantity,Component,Specification,Price,Link
1,1,Microcontroller,Seeed Studio XIAO RP2040,~6-7$,https://robu.in/product/seeed-studio-xiao-rp2040-v1-0/?gad_source=1&gad_campaignid=20387462343&gclid=CjwKCAjwmJjSBhB-EiwAkZgxiwX4mSXosOKh0fDZLGb1SLQ4hM5AIQdIWzqChIr9q2kIdDjZU1DV4BoCSrkQAvD_BwE
2,1,OLED Display,0.91in SSD1306 I2C OLED (128x32),~2.5$,https://robu.in/product/0-91-inch-128x32-i2c-iic-serial-blue-oled-lcd-display-module/
3,1,Rotary Encoder,EC11 Encoder with Push Switch,~0.6$,https://robu.in/product/hongyan-ec11h-7ce20p1zy20-rotary-encoder-with-push-button-switch-vertical-plug-in-5-pin/
4,6,Mechanical Switches,Cherry MX Compatible Switches,,
5,6,Keycaps,MX Compatible Keycaps,,
6,8,RGB LEDs,SK6812MINI-E Reverse Mount RGB LEDs,~3$,https://www.lcsc.com/product-detail/C5149201.html?spm=wm.gwc.xh.0.cbm___wm.sxq.ssl.gwc&lcsc_vid=FAALUlUFT1ZdVlZfQgBXXgdfQlddBVYDEldbBlIFFlUxVlNeRFFbUFBQRVJWUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktSR1dADxALGw%3D%3D
7,6,Diodes,1N4148W SOD-123,~0.5$,https://www.lcsc.com/product-detail/C81598.html?spm=wm.gwc.xh.2.cbm___wm.sxq.ssl.gwc&lcsc_vid=FAALUlUFT1ZdVlZfQgBXXgdfQlddBVYDEldbBlIFFlUxVlNeRFFbUFBQRVJWUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktSR1dADxALGw%3D%3D
8,1,PCB,BuildPad v1 PCB,,
9,1,Case,BuildPad v1 3D Printed Case,,
10,4,Heat Set Inserts,M2 Brass Heat Set Inserts,,
11,4,Screws,M2 Machine Screws,,
12,1,Encoder Knob,6mm Shaft Encoder Knob,,
